district,taluk,area_type,latitude,longitude,crime_type,month,day_of_week,time_of_day,population_density,unemployment_rate,literacy_rate,poverty_index,police_station_count,cctv_density,past_crime_rate,festival_period,age_group,gender_ratio,road_density,education_index,internet_penetration,alcohol_availability,transport_access,public_event
Tiruvannamalai,Tiruvannamalai,Rural,11.1693,77.8171,Theft,9,Monday,Evening,280,12.88,76.18,0.303,2,11,6.9,0,18-25,0.984,3.77,0.762,42.09,0.533,0.762,0
Namakkal,Namakkal,Rural,10.7926,77.4096,Fraud,12,Saturday,Morning,427,13.65,70.53,0.366,3,15,4.84,1,36-45,0.913,1.93,0.705,42.91,0.479,0.948,1
Thoothukudi,Kovilpatti,Semi-Urban,10.0054,76.4594,Theft,10,Saturday,Night,453,11.33,65.02,0.311,8,11,6.75,1,26-35,0.983,1.36,0.65,59.99,0.229,0.806,1
Krishnagiri,Bargur,Semi-Urban,10.0981,79.0044,Property Crime,3,Friday,Morning,345,14.02,73.04,0.434,8,6,1.81,0,26-35,0.963,2.83,0.73,68.23,0.556,0.42,0
Tiruvannamalai,Tiruvannamalai,Semi-Urban,9.0392,76.9013,Drug Offense,6,Sunday,Night,528,12.87,67.13,0.731,6,9,1.52,0,18-25,1.025,4.65,0.671,30.29,0.312,0.92,1
Dharmapuri,Palacode,Semi-Urban,11.6011,80.0994,Theft,12,Thursday,Night,414,6.72,79.37,0.522,4,12,0.57,1,36-45,0.933,3.57,0.794,51.44,0.884,0.914,1
Madurai,Usilampatti,Semi-Urban,12.0462,77.8229,Burglary,8,Sunday,Morning,1737,3.65,89.18,0.634,12,21,5.64,0,26-35,0.917,1.54,0.892,87.87,0.277,0.892,1
Namakkal,Namakkal,Rural,11.2915,79.5861,Cybercrime,12,Tuesday,Afternoon,203,11.78,72.44,0.745,5,8,4.54,1,36-45,1.017,0.96,0.724,46.9,0.764,0.77,1
Dindigul,Kodaikanal,Rural,13.0677,78.055,Theft,6,Saturday,Night,668,12.03,66.38,0.296,5,14,5.2,0,26-35,0.978,1.47,0.664,30.85,0.343,0.431,1
Erode,Anthiyur,Semi-Urban,9.1501,77.862,Assault,2,Sunday,Evening,777,14.99,77.52,0.454,3,8,4.15,0,60+,0.982,2.14,0.775,44.15,0.865,0.775,0
Dindigul,Dindigul,Semi-Urban,10.5293,78.1716,Drug Offense,4,Friday,Morning,202,14.69,71.79,0.724,4,3,5.77,1,26-35,0.983,0.8,0.718,37.25,0.341,0.839,1
Ramanathapuram,Ramanathapuram,Rural,12.0505,77.1877,Burglary,11,Thursday,Night,652,10.7,74.66,0.459,3,12,2.43,1,46-60,0.983,4.66,0.747,60.37,0.871,0.404,0
Krishnagiri,Hosur,Semi-Urban,9.4002,79.743,Vandalism,9,Tuesday,Evening,277,10.9,74.32,0.401,7,7,2.85,0,36-45,1.049,1.21,0.743,48.13,0.689,0.471,0
Villupuram,Villupuram,Semi-Urban,12.7548,80.0921,Fraud,7,Tuesday,Afternoon,367,6.53,73.84,0.571,8,15,1.06,0,18-25,0.965,1.8,0.738,56.09,0.292,0.888,0
Namakkal,Rasipuram,Rural,8.0993,77.535,Domestic Violence,8,Thursday,Night,271,8.28,73.88,0.739,5,9,2.31,0,46-60,0.955,1.2,0.739,54.58,0.583,0.883,0
Dindigul,Dindigul,Rural,12.7386,79.2758,Vandalism,5,Thursday,Night,209,10.77,69.81,0.649,2,4,0.56,0,26-35,1.072,4.27,0.698,35.74,0.542,0.481,0
Namakkal,Namakkal,Rural,9.6191,76.2193,Traffic Violation,4,Wednesday,Afternoon,387,9.07,72.32,0.518,6,5,7.15,1,60+,1.038,2.52,0.723,67.92,0.644,0.787,0
Villupuram,Kallakurichi,Semi-Urban,8.0449,78.1732,Theft,3,Friday,Night,581,10.28,76.19,0.703,7,2,0.98,0,60+,1.019,4.03,0.762,39.67,0.638,0.939,1
Thoothukudi,Thoothukudi,Urban,8.6452,80.0182,Fraud,1,Sunday,Afternoon,326,8.94,73.03,0.332,5,4,1.02,0,18-25,0.919,2.12,0.73,68.93,0.332,0.858,1
Madurai,Melur,Semi-Urban,9.7506,78.6411,Domestic Violence,5,Thursday,Evening,1899,7.94,91.74,0.124,19,36,7.19,0,46-60,0.984,2.59,0.917,85.95,0.647,0.712,0
Ramanathapuram,Kamuthi,Rural,8.8802,77.6895,Fraud,9,Friday,Afternoon,545,12.51,79.35,0.382,5,13,3.94,0,36-45,0.942,2.04,0.793,65.85,0.411,0.402,0
Dharmapuri,Harur,Rural,8.9115,76.5221,Domestic Violence,6,Saturday,Afternoon,723,9.99,67.25,0.538,8,5,2.86,0,18-25,1.04,4.3,0.673,61.49,0.871,0.577,1
Thoothukudi,Thoothukudi,Semi-Urban,9.8631,76.3052,Property Crime,10,Thursday,Evening,540,8.41,72.65,0.249,7,14,4.28,1,60+,1.072,1.28,0.726,46.85,0.349,0.391,1
Tiruvannamalai,Arani,Rural,9.5599,79.416,Domestic Violence,1,Wednesday,Night,644,5.6,81.08,0.788,8,4,7.73,0,26-35,1.039,3.93,0.811,66.49,0.548,0.427,0
Krishnagiri,Krishnagiri,Urban,8.5188,78.1324,Vandalism,10,Tuesday,Afternoon,571,10.8,67.35,0.747,6,12,3.48,1,36-45,0.941,4.8,0.673,46.23,0.844,0.6,1
Karur,Karur,Semi-Urban,13.1345,76.754,Cybercrime,4,Wednesday,Afternoon,769,8.36,78.16,0.212,3,5,6.77,1,60+,0.95,1.87,0.782,38.94,0.771,0.785,0
Tiruchirappalli,Lalgudi,Urban,8.8121,78.9326,Traffic Violation,1,Wednesday,Evening,452,5.44,84.47,0.168,4,10,2.62,0,26-35,1.012,2.99,0.845,46.9,0.801,0.696,1
Thanjavur,Pattukottai,Semi-Urban,10.8877,79.2718,Theft,11,Saturday,Night,362,5.67,81.77,0.324,7,8,6.24,1,26-35,0.97,0.54,0.818,69.18,0.261,0.754,1
Dharmapuri,Dharmapuri,Rural,13.3643,78.292,Burglary,8,Monday,Night,298,12.08,77.39,0.733,2,4,3.24,0,18-25,0.96,2.53,0.774,57.14,0.889,0.885,0
Thanjavur,Papanasam,Semi-Urban,13.4752,76.6069,Assault,12,Monday,Night,467,13.31,72.78,0.336,4,14,3.58,1,46-60,0.94,4.75,0.728,33.9,0.455,0.361,1
Kanchipuram,Madurantakam,Rural,9.105,79.8489,Domestic Violence,9,Sunday,Night,795,13.98,76.27,0.798,2,14,7.37,0,18-25,1.05,1.96,0.763,40.93,0.28,0.627,0
Tiruvannamalai,Polur,Semi-Urban,8.0193,76.3177,Burglary,11,Wednesday,Night,254,6.04,66.63,0.673,7,11,2.49,1,46-60,0.935,2.36,0.666,53.85,0.456,0.666,0
Salem,Vazhapadi,Rural,9.8659,79.4422,Drug Offense,9,Sunday,Night,759,14.94,76.16,0.784,8,2,6.34,0,18-25,1.025,2.79,0.762,53.29,0.69,0.363,1
Dindigul,Kodaikanal,Semi-Urban,12.1242,77.9158,Domestic Violence,1,Saturday,Night,493,12.75,74.08,0.249,7,8,3.51,0,46-60,0.984,1.98,0.741,62.42,0.836,0.656,0
Chennai,Ambattur,Urban,13.1664,76.2184,Fraud,6,Thursday,Morning,1779,5.47,87.41,0.457,25,33,1.34,0,46-60,0.937,4.11,0.874,81.07,0.253,0.583,1
Karur,Aravakurichi,Rural,9.0219,78.2999,Property Crime,5,Tuesday,Morning,471,6.01,71.24,0.688,2,7,1.9,0,18-25,0.967,1.15,0.712,35.33,0.773,0.65,1
Karur,Aravakurichi,Semi-Urban,12.0691,80.4486,Assault,8,Tuesday,Night,644,9.75,72.18,0.664,4,11,2.61,0,36-45,0.944,4.7,0.722,46.95,0.25,0.824,1
Virudhunagar,Virudhunagar,Rural,9.1328,76.7819,Drug Offense,1,Wednesday,Afternoon,324,8.5,68.39,0.165,2,12,3.69,0,26-35,1.088,1.16,0.684,57.54,0.827,0.615,0
Thoothukudi,Thoothukudi,Urban,10.7393,76.5533,Traffic Violation,8,Saturday,Morning,512,12.66,76.16,0.694,5,4,5.43,0,60+,1.094,0.84,0.762,31.13,0.387,0.63,0
Thoothukudi,Vilathikulam,Semi-Urban,9.8283,79.9149,Property Crime,3,Thursday,Morning,778,11.2,72.07,0.746,8,14,4.05,0,18-25,1.089,2.33,0.721,61.14,0.309,0.875,1
Cuddalore,Chidambaram,Rural,12.6735,79.815,Fraud,5,Monday,Evening,587,6.84,66.81,0.23,5,11,2.79,0,36-45,1.071,4.19,0.668,44.51,0.782,0.742,1
Erode,Erode,Semi-Urban,12.6709,77.5997,Vandalism,6,Wednesday,Morning,396,7.94,78.12,0.339,5,13,1.42,0,60+,0.964,4.38,0.781,65.52,0.372,0.622,1
Tiruchirappalli,Lalgudi,Rural,9.6928,80.0241,Theft,2,Sunday,Night,489,15.0,82.66,0.436,4,14,4.75,0,36-45,1.01,4.65,0.827,45.93,0.286,0.71,1
Karur,Kadavur,Semi-Urban,8.0788,76.1361,Burglary,2,Tuesday,Night,496,14.77,75.51,0.657,6,5,6.59,0,36-45,1.094,0.83,0.755,51.13,0.76,0.657,0
Thoothukudi,Ottapidaram,Rural,12.9066,77.283,Traffic Violation,1,Friday,Afternoon,225,6.38,67.45,0.431,3,3,7.05,0,60+,0.945,1.57,0.674,32.04,0.858,0.435,1
Sivaganga,Ilayangudi,Urban,10.1084,77.0843,Burglary,5,Monday,Night,308,9.49,75.46,0.531,7,10,1.05,0,60+,1.07,2.17,0.755,66.12,0.838,0.74,1
Salem,Vazhapadi,Rural,12.349,78.6747,Burglary,12,Tuesday,Night,616,14.05,79.53,0.177,6,7,6.84,1,60+,0.911,0.86,0.795,53.11,0.394,0.433,0
Thanjavur,Papanasam,Rural,9.7333,80.24,Assault,4,Thursday,Evening,509,12.34,81.25,0.436,3,5,0.95,1,18-25,1.085,2.34,0.812,56.86,0.463,0.722,1
Krishnagiri,Denkanikottai,Urban,10.0714,78.6056,Domestic Violence,8,Thursday,Morning,221,5.03,76.94,0.797,5,6,6.29,0,36-45,1.092,1.82,0.769,59.64,0.337,0.878,1
Virudhunagar,Aruppukkottai,Rural,10.6363,79.6676,Theft,11,Wednesday,Evening,327,10.89,80.45,0.489,8,8,3.9,1,18-25,1.035,2.54,0.804,55.25,0.3,0.445,0
Vellore,Arcot,Semi-Urban,10.6724,76.0312,Assault,9,Tuesday,Evening,206,10.3,66.99,0.674,4,6,1.38,0,60+,0.978,4.71,0.67,63.59,0.33,0.942,0
Sivaganga,Karaikudi,Semi-Urban,12.0297,80.1425,Traffic Violation,12,Friday,Afternoon,523,13.95,66.16,0.747,5,9,5.78,1,26-35,0.966,4.34,0.662,62.88,0.387,0.495,1
Thanjavur,Thanjavur,Rural,9.6364,79.9245,Burglary,3,Monday,Evening,253,13.39,66.37,0.163,5,10,2.53,0,60+,1.086,0.9,0.664,60.0,0.605,0.578,1
Namakkal,Tiruchengode,Semi-Urban,10.3666,79.1658,Burglary,3,Sunday,Morning,727,8.26,70.4,0.316,5,10,4.97,0,26-35,0.926,4.23,0.704,67.7,0.784,0.811,0
Erode,Gobichettipalayam,Urban,8.476,76.4282,Burglary,7,Sunday,Night,403,12.37,76.15,0.669,6,6,5.51,0,46-60,0.942,0.92,0.761,51.05,0.691,0.811,1
Dharmapuri,Karimangalam,Rural,8.8456,79.2825,Vandalism,7,Wednesday,Evening,778,12.89,67.3,0.207,6,15,5.43,0,36-45,1.057,0.71,0.673,35.31,0.873,0.479,0
Erode,Gobichettipalayam,Rural,13.4491,78.0084,Property Crime,4,Friday,Evening,608,12.8,69.79,0.611,3,2,2.8,1,36-45,0.919,2.98,0.698,39.43,0.264,0.941,0
Coimbatore,Coimbatore North,Urban,10.3379,78.3311,Theft,3,Tuesday,Evening,1017,3.14,87.21,0.474,18,16,4.92,0,26-35,1.065,2.37,0.872,72.73,0.718,0.513,1
Tiruvannamalai,Vandavasi,Rural,8.2425,78.9351,Domestic Violence,5,Monday,Afternoon,234,6.15,73.42,0.756,2,13,2.07,0,18-25,1.089,3.91,0.734,69.01,0.727,0.323,0
Karur,Aravakurichi,Urban,12.5496,78.664,Burglary,11,Sunday,Night,329,6.8,83.87,0.582,2,12,3.3,1,36-45,0.907,2.53,0.839,57.5,0.46,0.662,1
Dindigul,Palani,Rural,11.2546,77.4238,Fraud,9,Monday,Night,542,12.13,69.09,0.163,3,15,7.09,0,46-60,1.074,3.94,0.691,54.44,0.426,0.792,1
Tiruvannamalai,Cheyyar,Rural,8.4028,79.0556,Fraud,10,Wednesday,Afternoon,679,13.88,74.2,0.582,2,2,3.99,1,26-35,0.94,4.03,0.742,50.72,0.411,0.556,1
Cuddalore,Vridhachalam,Rural,13.1476,78.1759,Cybercrime,3,Sunday,Night,232,9.29,70.86,0.67,8,4,0.96,0,18-25,0.923,4.86,0.709,54.4,0.288,0.825,1
Namakkal,Namakkal,Semi-Urban,11.3762,79.8867,Burglary,7,Tuesday,Night,573,6.4,70.38,0.312,6,15,4.87,0,26-35,0.949,3.99,0.704,69.14,0.503,0.672,1
Tiruvannamalai,Arani,Semi-Urban,12.5146,76.0255,Assault,3,Tuesday,Evening,708,11.53,74.38,0.444,7,7,7.08,0,46-60,0.971,2.46,0.744,38.56,0.764,0.841,0
Coimbatore,Coimbatore North,Urban,8.6968,77.264,Theft,12,Thursday,Morning,1562,5.12,89.49,0.749,19,29,5.96,1,18-25,1.068,4.35,0.895,73.13,0.758,0.922,1
Kanchipuram,Madurantakam,Rural,12.9531,77.671,Theft,1,Saturday,Night,462,5.68,73.27,0.686,2,2,4.26,0,36-45,0.959,4.28,0.733,38.64,0.204,0.457,0
Namakkal,Kumarapalayam,Rural,9.9212,79.1456,Domestic Violence,9,Monday,Night,310,12.47,67.28,0.104,6,2,5.87,0,18-25,0.99,3.94,0.673,55.75,0.488,0.688,0
Tiruvannamalai,Arani,Rural,8.941,76.827,Theft,8,Friday,Night,680,11.05,79.39,0.54,5,12,6.78,0,60+,0.964,2.01,0.794,51.2,0.726,0.772,1
Villupuram,Gingee,Rural,13.3935,80.4378,Assault,10,Saturday,Evening,617,5.35,71.66,0.607,5,8,4.53,1,18-25,0.977,1.45,0.717,40.6,0.472,0.534,1
Vellore,Vellore,Semi-Urban,9.0119,76.1526,Drug Offense,3,Friday,Afternoon,515,8.76,84.45,0.64,4,8,0.62,0,18-25,0.906,1.29,0.845,38.02,0.595,0.339,1
Dindigul,Natham,Semi-Urban,11.3102,77.4192,Fraud,8,Monday,Night,234,10.69,73.31,0.121,5,9,0.81,0,60+,0.969,3.18,0.733,45.73,0.235,0.942,1
Tiruchirappalli,Tiruchirappalli,Semi-Urban,12.8188,78.9544,Property Crime,11,Thursday,Night,328,6.81,80.61,0.771,2,8,7.44,1,46-60,0.948,3.67,0.806,66.19,0.853,0.852,1
Krishnagiri,Hosur,Semi-Urban,10.4057,76.1404,Theft,5,Wednesday,Evening,465,14.66,67.38,0.705,7,11,3.39,0,46-60,1.1,3.01,0.674,35.61,0.823,0.728,1
Virudhunagar,Rajapalayam,Rural,11.1209,78.085,Burglary,3,Friday,Evening,541,14.37,77.22,0.379,8,15,5.13,0,18-25,1.085,3.85,0.772,47.92,0.709,0.436,1
Tirunelveli,Nanguneri,Rural,10.555,79.0985,Drug Offense,12,Friday,Morning,510,5.38,70.38,0.256,7,13,1.58,1,46-60,1.095,1.61,0.704,30.79,0.429,0.514,1
Dharmapuri,Harur,Semi-Urban,10.2818,79.1891,Property Crime,6,Monday,Evening,388,10.39,74.53,0.792,8,12,2.23,0,60+,1.088,1.17,0.745,43.01,0.283,0.346,0
Ramanathapuram,Kamuthi,Rural,9.4314,79.931,Property Crime,12,Saturday,Afternoon,575,8.63,82.28,0.197,4,6,3.0,1,60+,0.948,3.09,0.823,57.73,0.51,0.522,1
Thanjavur,Kumbakonam,Semi-Urban,12.6084,78.0364,Burglary,6,Monday,Night,244,6.89,74.0,0.461,7,13,7.91,0,18-25,1.097,0.61,0.74,37.55,0.724,0.389,0
Krishnagiri,Hosur,Rural,10.3398,77.6156,Theft,1,Sunday,Night,799,11.35,72.4,0.587,4,13,2.94,0,36-45,0.918,2.75,0.724,37.8,0.412,0.44,1
Virudhunagar,Aruppukkottai,Rural,10.7065,79.5986,Traffic Violation,12,Friday,Morning,204,8.18,65.05,0.313,4,13,6.86,1,46-60,0.928,3.34,0.65,61.08,0.668,0.675,1
Thanjavur,Thiruvidaimarudur,Rural,9.2868,77.2646,Cybercrime,3,Saturday,Evening,661,11.79,82.53,0.35,3,11,7.7,0,36-45,1.008,1.23,0.825,43.22,0.708,0.739,0
Tiruvannamalai,Arani,Rural,8.5821,78.8861,Burglary,6,Saturday,Evening,770,6.4,67.45,0.531,5,12,2.71,0,46-60,1.015,2.38,0.675,30.7,0.225,0.757,0
Dharmapuri,Palacode,Rural,11.877,78.2049,Domestic Violence,7,Sunday,Evening,281,10.43,84.52,0.316,6,4,6.33,0,18-25,1.07,3.89,0.845,49.77,0.616,0.741,0
Dindigul,Kodaikanal,Semi-Urban,12.0918,79.6162,Cybercrime,9,Thursday,Night,494,10.15,83.69,0.482,5,7,3.68,0,60+,0.979,1.01,0.837,66.43,0.688,0.553,0
Tirunelveli,Radhapuram,Rural,12.7663,79.8313,Theft,5,Tuesday,Night,409,13.07,80.69,0.185,4,4,2.58,0,18-25,1.093,4.58,0.807,57.34,0.659,0.669,1
Ramanathapuram,Kamuthi,Rural,8.5539,77.8805,Drug Offense,3,Saturday,Morning,521,5.23,75.07,0.332,7,13,3.43,0,26-35,0.943,1.15,0.751,57.59,0.516,0.459,0
Sivaganga,Devakottai,Rural,9.0522,78.4173,Vandalism,2,Wednesday,Night,734,7.14,67.54,0.741,6,15,0.72,0,26-35,0.925,4.59,0.675,40.89,0.89,0.475,0
Villupuram,Gingee,Rural,13.1449,78.3288,Domestic Violence,12,Friday,Afternoon,323,7.21,70.41,0.368,2,3,0.77,1,46-60,1.023,1.9,0.704,66.96,0.328,0.619,1
Sivaganga,Devakottai,Semi-Urban,8.7757,79.5896,Cybercrime,11,Thursday,Evening,398,7.46,69.17,0.264,3,8,6.33,1,60+,1.094,1.84,0.692,65.83,0.564,0.819,1
Coimbatore,Sulur,Urban,8.3766,78.841,Vandalism,8,Wednesday,Morning,1058,3.08,86.72,0.6,18,16,3.55,0,46-60,1.096,2.06,0.867,89.41,0.63,0.457,0
Cuddalore,Kattumannarkoil,Rural,11.1989,78.4823,Assault,1,Thursday,Afternoon,582,7.77,79.17,0.427,6,14,1.95,0,36-45,0.992,2.09,0.792,58.91,0.574,0.725,1
Tirunelveli,Palayamkottai,Semi-Urban,11.7991,79.7812,Vandalism,3,Tuesday,Morning,570,14.42,80.87,0.696,6,5,5.94,0,18-25,1.02,2.85,0.809,52.46,0.63,0.867,0
Sivaganga,Sivaganga,Semi-Urban,8.4182,79.4278,Burglary,2,Tuesday,Afternoon,394,11.32,79.52,0.655,7,2,3.05,0,60+,1.053,2.66,0.795,53.65,0.498,0.773,0
Namakkal,Tiruchengode,Urban,9.1069,77.5782,Burglary,4,Friday,Morning,765,5.74,82.06,0.67,8,6,4.5,1,26-35,1.052,2.74,0.821,54.12,0.661,0.767,1
Erode,Bhavani,Rural,13.4727,78.8909,Burglary,4,Thursday,Afternoon,628,5.31,77.99,0.512,7,13,7.66,1,60+,1.009,2.54,0.78,48.4,0.554,0.355,0
Tirunelveli,Ambasamudram,Rural,12.1106,79.1583,Vandalism,6,Thursday,Morning,583,10.47,71.65,0.4,2,6,3.83,0,60+,1.038,3.41,0.716,43.08,0.33,0.806,1
Dindigul,Natham,Rural,9.7122,78.9416,Theft,11,Thursday,Morning,532,13.44,83.79,0.254,8,10,2.25,1,46-60,0.919,4.17,0.838,67.46,0.403,0.549,1
Sivaganga,Devakottai,Semi-Urban,13.2727,78.2002,Burglary,4,Saturday,Night,534,13.27,78.22,0.128,3,5,6.04,1,26-35,1.065,0.77,0.782,68.9,0.843,0.399,0
Namakkal,Namakkal,Semi-Urban,9.3761,80.2316,Theft,8,Saturday,Evening,522,8.98,82.64,0.643,6,14,3.15,0,36-45,0.977,3.51,0.826,43.01,0.781,0.948,0
Dindigul,Natham,Semi-Urban,12.4662,80.182,Drug Offense,6,Tuesday,Afternoon,230,7.07,79.13,0.141,5,6,3.59,0,60+,1.05,4.48,0.791,37.72,0.213,0.769,0
Villupuram,Sankarapuram,Rural,10.7272,76.1699,Domestic Violence,4,Saturday,Morning,453,5.73,75.36,0.222,6,12,5.17,1,36-45,1.014,4.98,0.754,57.37,0.27,0.432,0
Coimbatore,Coimbatore South,Urban,10.0802,76.7511,Cybercrime,6,Tuesday,Evening,1407,4.91,92.66,0.597,25,37,4.18,0,36-45,0.943,1.5,0.927,83.25,0.455,0.765,1
Karur,Krishnarayapuram,Semi-Urban,12.7208,76.2833,Fraud,7,Sunday,Morning,420,5.76,83.75,0.647,2,10,3.16,0,46-60,1.067,1.76,0.838,42.64,0.512,0.59,1
Sivaganga,Manamadurai,Rural,12.3936,77.16,Theft,6,Thursday,Afternoon,268,11.18,65.1,0.792,7,5,2.87,0,26-35,1.083,4.82,0.651,46.67,0.414,0.799,0
Tirunelveli,Radhapuram,Urban,8.2999,79.4899,Theft,4,Thursday,Evening,297,14.23,65.39,0.461,6,14,0.6,1,60+,1.052,4.72,0.654,38.66,0.566,0.578,1
Dindigul,Kodaikanal,Rural,11.6851,76.493,Burglary,8,Monday,Night,272,7.86,70.56,0.472,5,9,4.88,0,26-35,1.03,1.61,0.706,43.33,0.21,0.765,1
Krishnagiri,Hosur,Rural,13.0472,77.2332,Burglary,1,Thursday,Morning,590,13.76,65.85,0.556,3,4,3.45,0,36-45,1.057,4.67,0.658,45.59,0.85,0.705,1
Kanchipuram,Chengalpattu,Semi-Urban,11.8774,78.1252,Traffic Violation,2,Monday,Afternoon,210,9.96,82.87,0.216,7,14,2.2,0,36-45,1.036,3.84,0.829,47.49,0.811,0.428,0
Ramanathapuram,Paramakudi,Semi-Urban,12.4596,77.9966,Fraud,2,Tuesday,Afternoon,385,9.54,71.78,0.57,2,3,6.49,0,46-60,0.99,0.75,0.718,58.97,0.54,0.55,0
Namakkal,Kumarapalayam,Rural,13.1886,78.4668,Burglary,11,Wednesday,Evening,413,5.22,82.82,0.206,7,5,6.9,1,26-35,0.933,3.92,0.828,34.32,0.899,0.861,1
Thoothukudi,Vilathikulam,Urban,9.087,79.4204,Fraud,2,Friday,Morning,627,8.37,82.21,0.389,2,5,0.72,0,60+,1.054,3.68,0.822,37.73,0.227,0.491,1
Sivaganga,Sivaganga,Rural,9.088,79.5878,Theft,7,Tuesday,Afternoon,585,6.15,83.72,0.515,7,14,3.8,0,60+,1.003,1.43,0.837,64.72,0.777,0.78,0
Thanjavur,Pattukottai,Rural,11.3015,79.8462,Vandalism,4,Tuesday,Evening,331,8.5,83.23,0.337,7,11,7.15,1,36-45,0.912,4.45,0.832,61.02,0.869,0.757,0
Tiruvannamalai,Tiruvannamalai,Rural,10.5227,79.8172,Burglary,4,Wednesday,Morning,645,7.96,79.59,0.694,7,15,1.2,1,18-25,0.93,2.12,0.796,31.07,0.326,0.719,0
Cuddalore,Cuddalore,Semi-Urban,10.2024,78.2496,Fraud,2,Friday,Evening,657,13.26,84.22,0.507,2,6,6.65,0,46-60,1.078,2.48,0.842,52.84,0.483,0.824,1
Cuddalore,Panruti,Rural,11.6847,79.2668,Traffic Violation,11,Wednesday,Evening,433,14.0,65.68,0.709,2,6,7.57,1,36-45,1.089,1.54,0.657,59.2,0.763,0.593,0
Virudhunagar,Aruppukkottai,Rural,12.264,78.681,Fraud,8,Wednesday,Evening,274,9.76,78.89,0.454,2,12,3.33,0,18-25,1.005,1.88,0.789,51.6,0.205,0.715,0
Sivaganga,Manamadurai,Rural,12.3014,76.674,Traffic Violation,9,Thursday,Evening,751,6.48,79.81,0.579,8,3,1.05,0,46-60,1.081,2.27,0.798,32.63,0.389,0.638,1
Karur,Kulithalai,Rural,11.0463,76.8125,Domestic Violence,7,Sunday,Night,725,6.48,78.17,0.167,7,8,4.33,0,26-35,1.055,1.68,0.782,58.3,0.833,0.847,0
Dharmapuri,Dharmapuri,Rural,13.2538,76.4735,Burglary,1,Wednesday,Night,709,10.06,76.22,0.382,6,11,7.23,0,36-45,0.96,4.13,0.762,47.79,0.363,0.894,0
Sivaganga,Karaikudi,Rural,10.6981,79.9802,Cybercrime,10,Friday,Evening,393,9.97,70.17,0.466,6,6,4.79,1,26-35,1.081,0.78,0.702,65.1,0.852,0.653,0
Coimbatore,Coimbatore South,Urban,12.854,76.2797,Theft,6,Friday,Evening,1010,7.6,94.23,0.32,8,27,1.91,0,26-35,1.094,1.06,0.942,88.71,0.285,0.307,1
Dindigul,Natham,Rural,12.7137,77.3147,Theft,9,Wednesday,Morning,496,10.44,84.06,0.431,7,14,3.68,0,26-35,0.92,4.6,0.841,59.4,0.249,0.38,1
Tiruvannamalai,Cheyyar,Semi-Urban,12.8658,77.9306,Burglary,1,Friday,Night,623,13.1,69.03,0.283,8,2,0.91,0,60+,1.01,0.73,0.69,42.81,0.427,0.433,0
Tiruchirappalli,Srirangam,Urban,10.5637,79.3502,Property Crime,3,Thursday,Morning,668,6.55,72.33,0.366,2,7,1.33,0,26-35,0.938,1.01,0.723,37.89,0.389,0.303,0
Virudhunagar,Virudhunagar,Rural,8.1135,78.1322,Property Crime,9,Thursday,Afternoon,421,14.6,68.68,0.202,5,12,0.89,0,18-25,1.014,4.09,0.687,60.51,0.455,0.89,0
Cuddalore,Vridhachalam,Rural,10.9345,76.4062,Domestic Violence,8,Sunday,Afternoon,348,10.25,81.95,0.114,3,5,7.41,0,26-35,0.974,4.92,0.82,62.83,0.891,0.431,0
Cuddalore,Vridhachalam,Rural,10.1557,77.6486,Domestic Violence,12,Tuesday,Afternoon,418,10.24,77.65,0.596,3,6,7.92,1,60+,0.926,1.58,0.777,61.36,0.489,0.527,1
Madurai,Melur,Urban,9.5532,77.6603,Traffic Violation,8,Friday,Evening,830,6.37,88.02,0.668,17,18,5.27,0,26-35,1.048,3.51,0.88,75.91,0.443,0.77,0
Virudhunagar,Aruppukkottai,Rural,13.4126,77.2057,Assault,8,Friday,Morning,267,10.77,79.22,0.744,4,7,3.86,0,26-35,0.947,2.2,0.792,59.49,0.762,0.666,0
Dharmapuri,Nallampalli,Rural,8.7072,80.4366,Domestic Violence,12,Monday,Morning,722,13.67,84.77,0.695,3,13,6.62,1,36-45,1.063,3.81,0.848,32.0,0.747,0.594,0
Chennai,Chennai Central,Urban,11.8093,78.5639,Fraud,6,Thursday,Morning,1143,4.23,93.84,0.493,23,18,2.84,0,26-35,1.029,4.85,0.938,72.14,0.394,0.818,0
Chennai,Chennai North,Urban,10.5294,77.2275,Traffic Violation,4,Saturday,Afternoon,1152,5.71,92.36,0.552,12,32,2.86,1,26-35,0.939,4.86,0.924,87.18,0.504,0.633,0
Kanchipuram,Chengalpattu,Semi-Urban,9.4248,78.2649,Property Crime,7,Monday,Afternoon,524,11.57,66.56,0.8,2,7,1.21,0,18-25,1.094,0.81,0.666,41.12,0.638,0.814,0
Thoothukudi,Ottapidaram,Semi-Urban,9.1957,79.6544,Fraud,1,Saturday,Night,367,5.04,84.52,0.352,4,4,2.98,0,18-25,1.058,1.95,0.845,33.06,0.621,0.825,1
Villupuram,Kallakurichi,Rural,13.11,79.2102,Theft,5,Monday,Afternoon,717,10.3,80.9,0.685,7,8,2.34,0,46-60,1.011,4.22,0.809,50.63,0.628,0.885,1
Karur,Karur,Rural,8.345,77.766,Traffic Violation,6,Sunday,Night,414,5.31,73.4,0.253,5,6,4.12,0,26-35,0.928,4.87,0.734,68.97,0.663,0.422,0
