district,taluk,area_type,latitude,longitude,crime_type,month,day_of_week,time_of_day,population_density,unemployment_rate,literacy_rate,poverty_index,police_station_count,cctv_density,past_crime_rate,weather,festival_period,age_group,gender_ratio,road_density,education_index,internet_penetration,alcohol_availability,transport_access,public_event
Tiruchirappalli,Tiruchirappalli,Rural,10.0453,77.6046,Property Crime,3,Friday,Afternoon,721,5.54,65.57,0.466,4,14,4.05,Cloudy,0,36-45,1.015,0.78,0.656,64.71,0.216,0.816,1
Chennai,Chennai North,Urban,8.2525,80.3174,Theft,4,Friday,Night,1853,6.21,94.51,0.17,16,24,5.04,Sunny,1,18-25,1.059,3.16,0.945,84.8,0.288,0.619,1
Vellore,Katpadi,Rural,9.1662,76.7852,Theft,5,Thursday,Evening,728,6.9,71.28,0.412,8,13,5.36,Cloudy,0,46-60,0.917,3.52,0.713,58.75,0.651,0.473,0
Ramanathapuram,Paramakudi,Semi-Urban,10.346,79.0854,Property Crime,12,Sunday,Evening,792,11.07,74.94,0.478,7,5,7.63,Sunny,1,36-45,1.059,1.56,0.749,47.09,0.231,0.929,0
Sivaganga,Manamadurai,Urban,10.431,77.5441,Burglary,1,Thursday,Night,745,7.36,78.78,0.547,6,10,5.9,Sunny,0,36-45,0.938,2.64,0.788,39.48,0.671,0.736,0
Dharmapuri,Dharmapuri,Semi-Urban,8.3381,78.6228,Burglary,8,Tuesday,Evening,201,10.28,65.13,0.429,2,13,6.02,Hot,0,18-25,1.048,3.85,0.651,47.68,0.633,0.723,1
Thanjavur,Papanasam,Rural,11.2258,78.4019,Burglary,5,Tuesday,Evening,636,10.05,70.82,0.302,4,12,1.4,Hot,0,46-60,0.926,0.75,0.708,49.37,0.371,0.314,1
Namakkal,Kolli Hills,Semi-Urban,11.577,77.5122,Drug Offense,4,Wednesday,Night,261,5.7,69.67,0.129,7,14,3.82,Hot,1,18-25,1.098,1.09,0.697,67.86,0.691,0.725,1
Salem,Omalur,Semi-Urban,12.9348,79.0351,Fraud,9,Friday,Night,499,10.25,70.07,0.67,4,9,1.98,Rainy,0,26-35,1.028,2.84,0.701,43.84,0.33,0.358,1
Vellore,Gudiyatham,Semi-Urban,8.781,78.4525,Cybercrime,2,Monday,Night,661,9.51,81.08,0.303,2,5,6.62,Sunny,0,46-60,1.098,4.37,0.811,57.04,0.296,0.461,1
Cuddalore,Panruti,Rural,11.9295,79.1558,Assault,7,Saturday,Evening,451,5.47,80.77,0.614,2,15,3.38,Cloudy,0,60+,0.944,4.23,0.808,68.52,0.455,0.619,0
Cuddalore,Chidambaram,Rural,10.9849,79.7964,Vandalism,8,Monday,Night,672,5.29,77.92,0.407,2,8,3.18,Cloudy,0,18-25,0.988,3.21,0.779,58.19,0.798,0.704,0
Villupuram,Kallakurichi,Semi-Urban,10.0885,79.5569,Traffic Violation,3,Tuesday,Evening,676,10.67,70.15,0.547,5,3,2.4,Rainy,0,60+,1.058,2.61,0.702,55.64,0.766,0.398,1
Chennai,Ambattur,Urban,12.9246,78.3983,Burglary,7,Friday,Morning,804,7.17,93.75,0.581,9,17,6.56,Cloudy,0,36-45,0.944,3.41,0.938,73.57,0.67,0.418,0
Virudhunagar,Aruppukkottai,Semi-Urban,10.6574,76.4472,Burglary,5,Saturday,Morning,422,14.3,69.43,0.461,6,8,6.13,Rainy,0,36-45,0.912,2.62,0.694,52.14,0.729,0.898,0
Krishnagiri,Krishnagiri,Rural,10.4379,77.1942,Assault,1,Monday,Afternoon,715,10.5,72.31,0.615,8,6,1.35,Sunny,0,18-25,0.953,1.68,0.723,54.32,0.847,0.872,0
Karur,Krishnarayapuram,Semi-Urban,10.1407,78.6174,Burglary,12,Monday,Evening,298,8.52,81.4,0.666,4,9,7.25,Rainy,1,60+,1.086,1.45,0.814,53.78,0.321,0.623,0
Dharmapuri,Karimangalam,Rural,11.2578,80.0836,Cybercrime,7,Wednesday,Afternoon,232,7.77,76.09,0.129,2,6,1.29,Sunny,0,36-45,0.93,1.41,0.761,34.16,0.281,0.89,0
Coimbatore,Pollachi,Urban,11.3378,76.9471,Cybercrime,8,Thursday,Morning,1896,6.72,89.21,0.758,16,34,6.95,Cloudy,0,26-35,1.094,3.98,0.892,71.38,0.462,0.329,0
Krishnagiri,Pochampalli,Semi-Urban,10.1113,76.5943,Assault,7,Friday,Morning,289,14.5,84.28,0.31,5,7,0.78,Hot,0,36-45,1.064,4.7,0.843,49.48,0.2,0.82,1
Salem,Vazhapadi,Rural,12.4473,76.4468,Domestic Violence,1,Monday,Evening,743,9.55,70.56,0.734,4,3,2.22,Sunny,0,36-45,0.937,3.92,0.706,30.46,0.538,0.329,1
Tiruvannamalai,Arani,Rural,13.3344,78.2771,Burglary,5,Wednesday,Afternoon,777,11.3,77.63,0.49,7,10,5.52,Cloudy,0,18-25,0.912,4.47,0.776,57.35,0.348,0.91,1
Vellore,Katpadi,Semi-Urban,9.9035,76.7225,Drug Offense,1,Saturday,Afternoon,688,8.37,71.39,0.744,2,9,7.59,Hot,0,60+,1.023,4.23,0.714,68.84,0.551,0.693,0
Villupuram,Kallakurichi,Rural,9.9417,78.6832,Vandalism,7,Monday,Afternoon,503,9.63,84.84,0.291,4,10,4.52,Cloudy,0,36-45,0.997,0.95,0.848,67.49,0.602,0.803,0
Coimbatore,Coimbatore North,Urban,12.0472,76.8796,Burglary,7,Wednesday,Night,1719,4.21,90.44,0.531,16,16,6.28,Sunny,0,18-25,0.94,2.16,0.904,78.45,0.585,0.7,1
Karur,Kadavur,Rural,9.2132,78.812,Traffic Violation,10,Sunday,Night,788,14.92,71.42,0.685,2,14,2.94,Sunny,1,18-25,1.074,0.62,0.714,53.05,0.395,0.35,1
Karur,Kulithalai,Rural,8.0239,76.675,Fraud,12,Monday,Afternoon,696,14.26,67.68,0.657,5,13,2.26,Hot,1,26-35,0.944,2.45,0.677,36.57,0.421,0.346,0
Sivaganga,Devakottai,Rural,9.4893,76.0605,Burglary,7,Saturday,Night,503,13.14,80.06,0.515,5,13,6.43,Sunny,0,26-35,0.912,2.73,0.801,52.6,0.207,0.319,1
Tiruchirappalli,Thuraiyur,Rural,12.8727,76.8862,Vandalism,6,Thursday,Night,518,8.36,79.03,0.767,6,15,7.14,Cloudy,0,60+,0.914,1.37,0.79,50.3,0.743,0.886,1
Kanchipuram,Madurantakam,Rural,12.9937,78.6422,Drug Offense,6,Thursday,Evening,523,9.74,79.23,0.385,6,11,0.97,Sunny,0,60+,1.088,0.86,0.792,63.89,0.447,0.762,0
Karur,Aravakurichi,Rural,10.6996,78.1578,Property Crime,12,Wednesday,Night,206,5.33,83.61,0.772,4,4,0.8,Rainy,1,18-25,1.043,1.54,0.836,50.77,0.756,0.355,0
Tirunelveli,Ambasamudram,Rural,11.2691,76.6829,Domestic Violence,9,Friday,Morning,200,8.27,67.94,0.6,4,3,7.36,Sunny,0,36-45,1.023,3.96,0.679,39.17,0.207,0.664,1
Dharmapuri,Nallampalli,Rural,9.0105,79.4492,Theft,6,Wednesday,Afternoon,222,6.37,74.32,0.37,8,8,7.64,Cloudy,0,36-45,0.951,4.88,0.743,45.37,0.629,0.335,0
Kanchipuram,Chengalpattu,Semi-Urban,8.9031,77.5935,Burglary,12,Wednesday,Night,769,6.05,78.38,0.501,6,6,6.28,Sunny,1,60+,1.089,4.63,0.784,48.86,0.405,0.656,0
Thanjavur,Thiruvidaimarudur,Rural,10.1097,79.641,Vandalism,9,Thursday,Morning,490,13.69,76.62,0.477,4,8,5.28,Cloudy,0,36-45,0.967,4.99,0.766,61.85,0.673,0.304,1
Thoothukudi,Vilathikulam,Rural,8.7423,79.3737,Fraud,8,Tuesday,Night,532,12.37,72.55,0.271,7,9,6.83,Hot,0,46-60,1.053,1.53,0.726,61.95,0.883,0.562,0
Virudhunagar,Kariapatti,Rural,10.2745,78.4483,Burglary,5,Thursday,Morning,394,8.29,68.42,0.701,6,6,2.47,Cloudy,0,36-45,0.904,1.73,0.684,57.02,0.434,0.363,1
Villupuram,Sankarapuram,Semi-Urban,11.5505,78.4283,Assault,7,Friday,Night,249,12.4,84.59,0.271,8,6,1.95,Cloudy,0,46-60,1.012,4.57,0.846,66.44,0.436,0.396,1
Villupuram,Gingee,Semi-Urban,8.4975,78.2923,Vandalism,6,Monday,Evening,439,14.23,65.59,0.701,4,6,1.15,Cloudy,0,46-60,0.935,4.58,0.656,43.45,0.728,0.352,1
Ramanathapuram,Kamuthi,Rural,10.1886,79.8457,Domestic Violence,1,Tuesday,Afternoon,735,14.4,73.65,0.214,3,3,7.11,Hot,0,26-35,1.067,1.93,0.736,35.34,0.561,0.539,0
Villupuram,Kallakurichi,Rural,12.6465,78.3719,Property Crime,10,Friday,Afternoon,595,12.51,75.71,0.548,7,4,7.0,Sunny,1,46-60,1.028,2.34,0.757,62.61,0.872,0.82,1
Kanchipuram,Madurantakam,Semi-Urban,10.1315,80.3912,Vandalism,8,Wednesday,Morning,657,5.07,74.35,0.407,6,10,1.93,Rainy,0,46-60,1.017,1.56,0.744,52.03,0.339,0.469,0
Coimbatore,Coimbatore North,Urban,13.339,78.3151,Theft,4,Tuesday,Night,1699,7.8,85.69,0.655,22,37,3.6,Cloudy,1,60+,0.963,4.4,0.857,79.5,0.257,0.801,1
Thanjavur,Papanasam,Rural,9.0714,79.4963,Domestic Violence,12,Tuesday,Night,257,9.63,79.04,0.635,8,12,2.74,Rainy,1,46-60,1.029,4.51,0.79,63.54,0.452,0.575,1
Dharmapuri,Karimangalam,Semi-Urban,9.0719,80.3857,Fraud,4,Thursday,Morning,406,14.45,68.54,0.281,4,5,2.3,Hot,1,46-60,0.947,3.58,0.685,39.49,0.422,0.429,0
Tirunelveli,Nanguneri,Rural,8.9874,79.3677,Domestic Violence,4,Wednesday,Afternoon,716,6.62,77.0,0.746,7,4,3.62,Sunny,1,60+,1.033,0.54,0.77,68.05,0.285,0.561,0
Thoothukudi,Kovilpatti,Urban,10.6714,77.9706,Cybercrime,9,Tuesday,Night,649,11.23,80.24,0.279,5,8,5.06,Rainy,0,26-35,1.028,1.71,0.802,68.9,0.64,0.727,0
Dharmapuri,Palacode,Semi-Urban,12.928,79.0642,Fraud,8,Friday,Evening,548,13.28,72.56,0.621,2,14,3.41,Cloudy,0,60+,0.956,1.95,0.726,58.15,0.788,0.609,1
Dindigul,Palani,Semi-Urban,11.5271,79.7033,Theft,3,Friday,Evening,207,10.56,70.26,0.798,3,7,4.5,Cloudy,0,26-35,1.033,1.83,0.703,41.11,0.501,0.342,1
Sivaganga,Devakottai,Urban,12.9825,79.0211,Cybercrime,2,Thursday,Evening,374,9.36,69.44,0.36,7,14,7.82,Sunny,0,46-60,0.932,4.47,0.694,34.16,0.817,0.451,0
Thanjavur,Thiruvidaimarudur,Rural,8.8736,79.1267,Cybercrime,11,Friday,Evening,729,6.99,70.92,0.759,4,5,3.48,Cloudy,1,18-25,0.987,1.46,0.709,64.73,0.822,0.611,1
Coimbatore,Coimbatore South,Semi-Urban,11.0744,78.2609,Fraud,1,Thursday,Afternoon,1837,6.51,87.18,0.317,23,32,4.99,Rainy,0,36-45,0.926,0.95,0.872,81.19,0.873,0.632,1
Krishnagiri,Bargur,Rural,10.3284,77.537,Traffic Violation,11,Wednesday,Afternoon,203,13.57,77.6,0.657,6,7,5.26,Rainy,1,36-45,1.056,4.99,0.776,31.39,0.866,0.589,0
Kanchipuram,Kanchipuram,Semi-Urban,10.58,78.3095,Vandalism,12,Monday,Evening,517,6.31,76.23,0.705,8,15,7.46,Sunny,1,26-35,0.927,2.28,0.762,55.75,0.61,0.905,1
Dindigul,Palani,Rural,10.616,78.568,Domestic Violence,11,Monday,Evening,700,11.31,74.19,0.79,7,2,4.5,Sunny,1,46-60,0.976,1.09,0.742,39.33,0.418,0.383,0
Coimbatore,Coimbatore South,Urban,10.4014,79.6437,Theft,8,Thursday,Night,876,7.85,89.3,0.383,14,39,4.06,Rainy,0,60+,1.081,4.72,0.893,84.97,0.716,0.518,1
Kanchipuram,Kanchipuram,Rural,10.2537,77.8511,Assault,5,Monday,Morning,426,8.06,72.29,0.286,7,8,4.22,Rainy,0,36-45,0.925,3.04,0.723,39.58,0.434,0.668,0
Sivaganga,Ilayangudi,Rural,12.3835,80.2443,Burglary,8,Monday,Morning,589,7.54,71.14,0.692,6,3,3.77,Rainy,0,18-25,1.073,2.55,0.711,57.65,0.632,0.759,1
Thoothukudi,Kovilpatti,Rural,10.6671,79.3847,Fraud,4,Tuesday,Morning,726,14.66,83.41,0.497,3,3,2.67,Hot,1,46-60,1.021,4.95,0.834,42.33,0.459,0.486,0
Virudhunagar,Aruppukkottai,Semi-Urban,8.246,80.384,Burglary,7,Friday,Night,653,13.89,77.0,0.694,6,13,2.2,Hot,0,46-60,0.983,2.37,0.77,36.85,0.532,0.822,1
Cuddalore,Cuddalore,Rural,10.1557,78.1173,Cybercrime,5,Saturday,Evening,204,12.98,72.1,0.365,2,11,6.6,Hot,0,18-25,1.084,0.54,0.721,55.23,0.871,0.544,0
Cuddalore,Kattumannarkoil,Urban,12.1955,77.3319,Assault,5,Tuesday,Afternoon,465,8.53,72.61,0.272,8,5,4.22,Hot,0,36-45,1.063,3.88,0.726,53.73,0.337,0.603,1
Coimbatore,Coimbatore South,Urban,8.8848,79.2051,Theft,10,Wednesday,Night,1918,3.83,90.7,0.194,8,24,2.07,Cloudy,1,60+,1.024,3.05,0.907,85.88,0.485,0.806,1
Namakkal,Rasipuram,Urban,8.8852,79.5622,Property Crime,2,Wednesday,Night,587,14.3,77.18,0.639,7,12,6.29,Sunny,0,46-60,1.043,3.09,0.772,43.23,0.447,0.631,0
Chennai,Sholinganallur,Urban,10.2746,76.5236,Cybercrime,3,Thursday,Evening,1197,3.81,90.42,0.29,16,30,7.1,Rainy,0,18-25,1.059,3.31,0.904,84.2,0.558,0.682,0
Kanchipuram,Sriperumbudur,Semi-Urban,9.9649,78.579,Vandalism,6,Monday,Morning,432,8.58,76.48,0.259,6,12,3.76,Sunny,0,18-25,0.901,1.81,0.765,34.78,0.582,0.726,1
Krishnagiri,Denkanikottai,Rural,8.1681,76.3997,Property Crime,4,Saturday,Morning,767,7.26,84.92,0.351,6,2,6.24,Cloudy,1,46-60,1.093,4.11,0.849,48.86,0.683,0.323,1
Dindigul,Nilakottai,Rural,11.3753,79.9587,Drug Offense,5,Thursday,Evening,569,5.66,75.26,0.797,5,5,4.43,Rainy,0,36-45,0.907,4.36,0.753,49.23,0.857,0.743,0
Tiruvannamalai,Cheyyar,Rural,12.7799,76.7019,Traffic Violation,10,Sunday,Evening,239,10.55,84.72,0.722,5,10,1.25,Rainy,1,26-35,1.088,3.9,0.847,57.7,0.351,0.537,1
Tirunelveli,Tirunelveli,Rural,10.2295,79.6228,Fraud,3,Sunday,Night,781,8.1,65.96,0.141,6,8,1.28,Hot,0,36-45,1.068,2.96,0.66,53.9,0.655,0.848,1
Vellore,Vellore,Rural,8.9175,80.431,Property Crime,12,Wednesday,Evening,497,9.56,72.37,0.341,5,2,6.34,Rainy,1,18-25,1.021,0.89,0.724,58.89,0.607,0.94,0
Madurai,Usilampatti,Urban,12.6577,80.409,Cybercrime,4,Tuesday,Evening,1285,7.09,85.02,0.29,12,15,3.62,Sunny,1,36-45,0.98,4.78,0.85,83.62,0.455,0.334,0
Thanjavur,Pattukottai,Semi-Urban,12.9894,76.3877,Property Crime,2,Friday,Morning,728,12.5,68.87,0.435,3,9,7.82,Rainy,0,60+,0.919,2.73,0.689,59.3,0.83,0.775,1
Krishnagiri,Pochampalli,Urban,13.1556,77.7166,Vandalism,12,Wednesday,Afternoon,629,7.51,82.07,0.478,4,2,2.02,Hot,1,18-25,1.001,2.68,0.821,62.93,0.823,0.78,1
Salem,Omalur,Rural,11.016,76.4206,Burglary,9,Saturday,Night,660,12.26,81.25,0.426,4,7,1.87,Rainy,0,26-35,0.928,0.92,0.812,67.76,0.541,0.391,1
Ramanathapuram,Mudukulathur,Rural,8.9258,79.7136,Burglary,12,Thursday,Night,362,12.7,66.82,0.561,7,9,2.8,Rainy,1,18-25,0.975,3.46,0.668,38.17,0.765,0.8,1
Thanjavur,Kumbakonam,Semi-Urban,10.6266,80.2024,Assault,8,Monday,Afternoon,387,9.95,68.21,0.602,6,11,2.39,Sunny,0,18-25,1.019,3.42,0.682,35.22,0.619,0.644,0
Ramanathapuram,Mudukulathur,Rural,8.5106,79.7101,Drug Offense,10,Tuesday,Evening,312,12.7,79.5,0.656,7,15,3.85,Sunny,1,60+,1.029,1.6,0.795,64.88,0.808,0.412,0
Ramanathapuram,Mudukulathur,Rural,8.9286,76.1665,Traffic Violation,8,Tuesday,Afternoon,749,5.12,75.2,0.625,4,7,2.16,Rainy,0,26-35,0.985,1.96,0.752,31.99,0.492,0.547,0
Dharmapuri,Palacode,Rural,11.5647,76.4368,Vandalism,3,Tuesday,Night,549,10.25,72.0,0.611,2,3,2.71,Hot,0,46-60,0.906,0.81,0.72,55.92,0.846,0.4,0
Tirunelveli,Radhapuram,Rural,12.4717,77.7614,Assault,1,Monday,Night,357,5.84,67.74,0.617,8,4,6.98,Hot,0,46-60,1.096,2.18,0.677,58.45,0.882,0.408,1
Salem,Omalur,Semi-Urban,10.8358,77.9652,Fraud,2,Tuesday,Night,717,6.92,66.41,0.58,3,11,3.27,Rainy,0,18-25,1.082,1.34,0.664,61.01,0.645,0.441,1
Vellore,Katpadi,Semi-Urban,10.772,78.1448,Property Crime,12,Friday,Afternoon,383,14.85,84.56,0.633,7,3,6.5,Sunny,1,60+,1.048,4.57,0.846,63.79,0.33,0.797,0
Salem,Mettur,Rural,12.3921,78.8331,Drug Offense,6,Monday,Evening,376,11.63,78.32,0.109,6,8,7.78,Hot,0,18-25,1.072,0.59,0.783,35.67,0.497,0.881,0
Vellore,Gudiyatham,Rural,12.4969,77.2248,Cybercrime,7,Tuesday,Evening,400,11.67,75.28,0.537,6,5,4.85,Sunny,0,60+,0.98,1.81,0.753,43.28,0.426,0.702,1
Virudhunagar,Virudhunagar,Rural,11.0746,79.746,Assault,11,Monday,Night,289,13.02,70.15,0.607,8,5,4.33,Hot,1,60+,0.932,4.26,0.702,49.84,0.547,0.81,0
Salem,Salem,Rural,10.3333,76.1605,Drug Offense,10,Saturday,Night,542,6.82,68.56,0.482,8,13,3.8,Rainy,1,36-45,0.939,1.08,0.686,54.42,0.213,0.783,1
Tirunelveli,Radhapuram,Rural,10.4238,76.9891,Assault,3,Sunday,Evening,320,7.74,70.47,0.116,8,7,0.6,Sunny,0,46-60,0.982,4.45,0.705,48.19,0.639,0.643,0
Namakkal,Kolli Hills,Semi-Urban,11.804,79.84,Assault,9,Saturday,Night,645,6.33,75.21,0.138,6,2,4.56,Sunny,0,46-60,0.9,4.62,0.752,63.72,0.634,0.853,0
Thoothukudi,Thoothukudi,Semi-Urban,9.8255,77.9672,Cybercrime,11,Friday,Evening,629,14.36,71.99,0.704,4,3,4.93,Cloudy,1,60+,1.047,1.53,0.72,62.1,0.821,0.557,0
Karur,Aravakurichi,Rural,13.3614,78.8748,Fraud,7,Thursday,Evening,388,14.49,68.66,0.158,3,14,6.59,Rainy,0,26-35,1.074,4.03,0.687,69.68,0.318,0.669,1
Salem,Sankagiri,Rural,10.4652,76.8006,Theft,10,Tuesday,Afternoon,522,9.73,82.05,0.464,4,2,6.11,Cloudy,1,46-60,1.027,3.25,0.821,37.88,0.5,0.421,1
Tiruvannamalai,Arani,Rural,9.5863,78.4724,Drug Offense,7,Thursday,Morning,471,12.64,83.41,0.401,4,9,0.91,Hot,0,46-60,1.029,2.78,0.834,42.25,0.572,0.898,1
Salem,Omalur,Semi-Urban,10.3343,79.4928,Burglary,7,Friday,Evening,727,5.97,80.64,0.28,6,15,5.64,Sunny,0,26-35,1.012,1.96,0.806,58.93,0.759,0.378,1
Karur,Krishnarayapuram,Rural,9.7859,79.8413,Fraud,11,Monday,Morning,696,14.71,77.3,0.651,8,3,7.63,Hot,1,18-25,0.989,4.96,0.773,67.33,0.594,0.373,0
Dindigul,Dindigul,Semi-Urban,12.5249,76.1235,Drug Offense,11,Thursday,Evening,560,12.63,77.33,0.17,2,5,6.14,Hot,1,60+,1.084,3.63,0.773,67.13,0.444,0.878,1
Villupuram,Sankarapuram,Rural,12.5856,78.548,Theft,1,Saturday,Night,766,12.13,73.06,0.79,5,15,4.87,Rainy,0,60+,1.092,3.08,0.731,59.11,0.704,0.5,1
Sivaganga,Devakottai,Semi-Urban,9.86,78.5363,Domestic Violence,2,Monday,Afternoon,742,8.14,82.8,0.765,3,9,4.2,Sunny,0,36-45,0.978,1.35,0.828,52.86,0.364,0.89,1
Karur,Kulithalai,Rural,10.8861,79.674,Drug Offense,5,Sunday,Morning,252,8.52,66.86,0.468,8,12,5.98,Rainy,0,60+,1.037,2.92,0.669,51.48,0.553,0.396,0
Villupuram,Gingee,Urban,11.4577,79.384,Cybercrime,5,Thursday,Afternoon,597,8.33,72.61,0.466,6,9,5.44,Cloudy,0,60+,1.022,0.56,0.726,60.06,0.73,0.362,1
Tiruchirappalli,Thuraiyur,Rural,10.3591,78.6122,Cybercrime,3,Tuesday,Afternoon,383,8.57,80.27,0.122,8,14,2.69,Hot,0,18-25,0.916,2.16,0.803,51.76,0.602,0.75,1
Dharmapuri,Nallampalli,Semi-Urban,9.6417,79.0827,Traffic Violation,10,Friday,Morning,462,6.41,67.33,0.61,5,7,0.69,Rainy,1,26-35,0.934,2.6,0.673,57.28,0.405,0.599,0
Tirunelveli,Radhapuram,Rural,8.4256,77.0799,Assault,3,Monday,Night,215,5.91,74.77,0.55,6,6,1.69,Cloudy,0,60+,1.04,4.79,0.748,52.37,0.324,0.944,0
Cuddalore,Kattumannarkoil,Semi-Urban,10.7697,77.8119,Fraud,11,Monday,Morning,787,10.71,74.95,0.559,8,3,1.76,Sunny,1,36-45,1.011,1.77,0.749,31.56,0.527,0.358,0
Dharmapuri,Nallampalli,Rural,11.4875,80.1349,Traffic Violation,11,Saturday,Morning,476,13.02,73.97,0.18,5,13,7.38,Rainy,1,46-60,0.981,4.11,0.74,35.87,0.89,0.899,0
Salem,Vazhapadi,Rural,9.1012,78.7811,Burglary,3,Tuesday,Night,316,12.44,81.61,0.783,6,11,3.01,Hot,0,46-60,0.9,3.43,0.816,60.57,0.56,0.386,0
Thanjavur,Thiruvidaimarudur,Rural,12.3781,79.035,Fraud,4,Saturday,Afternoon,274,7.93,74.9,0.21,7,8,7.7,Sunny,1,60+,0.975,1.55,0.749,38.54,0.627,0.525,1
Karur,Aravakurichi,Semi-Urban,12.4077,76.6479,Fraud,2,Tuesday,Evening,460,9.11,82.58,0.631,3,14,5.32,Sunny,0,18-25,0.902,4.3,0.826,63.96,0.261,0.647,0
Cuddalore,Kattumannarkoil,Rural,9.7871,76.0286,Vandalism,6,Friday,Night,279,13.08,74.3,0.771,3,11,7.37,Sunny,0,18-25,0.987,1.38,0.743,53.04,0.283,0.634,0
Coimbatore,Coimbatore North,Urban,13.1528,78.1974,Cybercrime,1,Tuesday,Afternoon,971,5.77,90.09,0.305,8,20,1.94,Rainy,0,36-45,1.05,3.9,0.901,89.2,0.205,0.822,1
Sivaganga,Ilayangudi,Semi-Urban,12.0569,76.4121,Burglary,8,Sunday,Night,767,7.43,78.87,0.313,6,14,1.29,Hot,0,18-25,1.051,0.71,0.789,40.5,0.326,0.532,0
Cuddalore,Chidambaram,Rural,13.2123,78.7674,Vandalism,7,Monday,Afternoon,367,5.14,69.67,0.543,7,12,1.9,Sunny,0,18-25,1.029,4.81,0.697,37.04,0.283,0.497,1
Erode,Erode,Rural,11.8783,79.7463,Drug Offense,2,Thursday,Night,576,12.97,79.74,0.696,3,3,5.36,Hot,0,46-60,0.906,3.38,0.797,64.09,0.571,0.905,1
Krishnagiri,Krishnagiri,Urban,8.5308,76.0804,Domestic Violence,3,Saturday,Morning,218,5.88,70.03,0.225,3,7,5.94,Sunny,0,46-60,0.904,1.69,0.7,43.21,0.48,0.723,0
Cuddalore,Vridhachalam,Rural,12.9225,79.9271,Theft,4,Thursday,Night,595,8.47,73.33,0.734,7,3,1.51,Cloudy,1,60+,1.022,3.92,0.733,47.9,0.457,0.706,1
Tirunelveli,Tirunelveli,Rural,8.0422,79.064,Vandalism,6,Sunday,Morning,550,12.49,74.18,0.393,5,2,4.16,Rainy,0,26-35,1.017,0.67,0.742,52.05,0.426,0.581,0
Krishnagiri,Krishnagiri,Rural,10.9035,80.3064,Fraud,6,Monday,Night,604,11.03,82.76,0.372,6,10,6.2,Sunny,0,46-60,1.097,4.07,0.828,38.65,0.53,0.728,0
Tiruvannamalai,Arani,Semi-Urban,8.1819,77.4364,Fraud,1,Wednesday,Evening,764,6.63,84.49,0.103,6,13,6.55,Rainy,0,26-35,0.919,4.03,0.845,68.75,0.596,0.887,1
Sivaganga,Sivaganga,Semi-Urban,12.4063,79.4517,Burglary,12,Wednesday,Night,308,14.3,77.06,0.487,3,13,4.45,Rainy,1,46-60,1.048,3.09,0.771,61.45,0.578,0.919,0
Namakkal,Namakkal,Semi-Urban,11.8462,78.0591,Theft,2,Saturday,Night,483,13.04,71.02,0.508,5,10,6.19,Rainy,0,18-25,1.077,1.67,0.71,41.65,0.541,0.3,1
Namakkal,Kolli Hills,Rural,12.0056,78.4611,Fraud,2,Monday,Evening,630,12.49,76.55,0.65,2,10,5.21,Rainy,0,60+,0.999,4.38,0.766,49.06,0.712,0.335,1
Sivaganga,Manamadurai,Rural,12.885,78.8991,Traffic Violation,9,Friday,Night,797,12.24,67.49,0.68,8,11,1.15,Rainy,0,26-35,0.986,2.66,0.675,55.26,0.779,0.775,1
Ramanathapuram,Paramakudi,Urban,9.194,79.381,Theft,6,Tuesday,Night,251,12.25,79.14,0.557,6,13,5.84,Hot,0,46-60,0.992,2.08,0.791,67.35,0.302,0.789,1
Ramanathapuram,Kamuthi,Urban,8.5609,76.6968,Drug Offense,2,Saturday,Morning,688,8.89,67.39,0.565,3,7,1.43,Rainy,0,60+,1.027,1.17,0.674,38.0,0.541,0.6,0
Thanjavur,Kumbakonam,Semi-Urban,8.7449,76.6906,Property Crime,8,Monday,Morning,422,13.44,70.09,0.309,3,12,1.78,Cloudy,0,26-35,1.033,4.41,0.701,48.64,0.265,0.899,1
Karur,Kadavur,Rural,9.899,76.8766,Domestic Violence,3,Sunday,Afternoon,717,11.63,66.15,0.227,4,14,6.75,Hot,0,46-60,1.058,1.57,0.661,35.37,0.882,0.697,0
Virudhunagar,Kariapatti,Semi-Urban,12.7669,77.0116,Property Crime,3,Monday,Afternoon,267,12.27,73.64,0.433,4,5,6.3,Cloudy,0,26-35,1.086,2.75,0.736,47.81,0.379,0.434,1
Villupuram,Tindivanam,Rural,12.5779,78.6882,Theft,3,Monday,Afternoon,763,14.99,76.93,0.471,2,13,6.91,Cloudy,0,60+,0.989,4.21,0.769,30.79,0.733,0.741,0
Namakkal,Namakkal,Rural,10.2382,76.5384,Domestic Violence,9,Sunday,Night,747,8.83,74.55,0.408,5,13,6.52,Rainy,0,36-45,0.946,2.76,0.746,69.24,0.869,0.905,1
Virudhunagar,Sattur,Semi-Urban,12.3513,76.0701,Domestic Violence,10,Tuesday,Morning,373,7.36,80.57,0.346,2,6,5.33,Sunny,1,60+,1.025,2.38,0.806,68.06,0.578,0.702,1
Virudhunagar,Aruppukkottai,Semi-Urban,9.0564,79.3544,Theft,8,Tuesday,Afternoon,508,13.72,79.19,0.634,5,14,1.37,Rainy,0,36-45,0.973,1.74,0.792,52.44,0.759,0.674,0
Vellore,Arcot,Rural,8.8572,79.4294,Theft,1,Saturday,Night,487,13.01,80.0,0.769,3,14,0.56,Hot,0,26-35,1.061,3.2,0.8,48.27,0.787,0.669,0
